8798 , 136 , 14080
8798 , 136 , 14082
8798 , 136 , 14092
8798 , 359 , 35393
8798 , 359 , 35395
8798 , 359 , 35398
8921 , 279 , 32086
8921 , 279 , 32122
8921 , 279 , 32129
8921 , 279 , 32131
8922 , 75 , 8418
8922 , 75 , 8423
8922 , 75 , 8425
8922 , 75 , 8429
8922 , 75 , 8438
8922 , 102 , 11234
8922 , 102 , 11258
8973 , 148 , 13474
8973 , 148 , 13493
9029 , 124 , 11188
9029 , 124 , 11198
9029 , 124 , 11201
9032 , 116 , 10904
9032 , 116 , 10905
9032 , 116 , 10906
9032 , 116 , 10917
9032 , 116 , 10924
9057 , 50 , 4511
9057 , 50 , 4520
9057 , 50 , 4522
9057 , 50 , 4525
9057 , 50 , 4527
9057 , 50 , 4533
9057 , 50 , 4535
9062 , 79 , 8568
9071 , 44 , 4071
9071 , 44 , 4073
9071 , 44 , 4084
9073 , 297 , 28008
9077 , 389 , 32043
9096 , 434 , 37809
9096 , 434 , 37811
9096 , 434 , 37812
9096 , 434 , 37815
9096 , 434 , 37820
9096 , 434 , 37837
9103 , 12 , 1046
9103 , 12 , 1050
9103 , 12 , 1067
9112 , 59 , 4969
9114 , 356 , 31153
9114 , 356 , 31154
9114 , 356 , 31155
9114 , 389 , 33992
9114 , 389 , 33995
9114 , 389 , 34000
9114 , 389 , 34007
9114 , 389 , 34009
9127 , 207 , 18316
9127 , 207 , 18318
9134 , 4 , 281
9177 , 250 , 21121
9177 , 250 , 21126
9177 , 250 , 21132
9177 , 250 , 21133
9177 , 250 , 21149
9177 , 250 , 21153
9177 , 265 , 22625
9177 , 265 , 22629
9177 , 265 , 22647
9177 , 473 , 42161
9177 , 473 , 42166
9177 , 473 , 42167
9177 , 473 , 42170
9177 , 473 , 42190
9180 , 39 , 3266
9180 , 39 , 3269
9180 , 39 , 3276
9184 , 7 , 568
9190 , 101 , 12703
9190 , 101 , 12717
9190 , 101 , 12724
9190 , 101 , 12736
9190 , 101 , 12737
9193 , 41 , 3052
9193 , 41 , 3054
9193 , 41 , 3057
9193 , 41 , 3060
9204 , 341 , 25806
9204 , 341 , 25814
9214 , 212 , 17014
9214 , 212 , 17018
9215 , 76 , 6025
9230 , 90 , 28434
9230 , 90 , 28446
9231 , 293 , 23910
9281 , 177 , 15127
9281 , 177 , 15128
9281 , 177 , 15140
9281 , 177 , 15144
9281 , 177 , 15145
9281 , 177 , 15147
9288 , 102 , 9076
9288 , 102 , 9084
9288 , 102 , 9106
9288 , 102 , 9117
9310 , 424 , 29545
9310 , 424 , 29548
9310 , 424 , 29556
9322 , 171 , 12116
9322 , 171 , 12121
9322 , 171 , 12126
9331 , 340 , 24382
9331 , 340 , 24384
9332 , 38 , 2289
9332 , 38 , 2299
9332 , 38 , 2300
9333 , 211 , 14973
9333 , 211 , 14977
9339 , 264 , 21667
9339 , 264 , 21679
9339 , 264 , 21680
9339 , 264 , 21685
9339 , 264 , 21691
9340 , 207 , 15266
9343 , 268 , 18825
9343 , 268 , 18840
9353 , 43 , 2454
9353 , 43 , 2463
9353 , 43 , 2470
9364 , 238 , 17465
9364 , 238 , 17467
9364 , 238 , 17473
9364 , 238 , 17483
9366 , 211 , 15238
9377 , 228 , 16682
9377 , 228 , 16687
9377 , 228 , 16688
9377 , 228 , 16693
9379 , 181 , 11170
9379 , 181 , 11171
9379 , 477 , 30578
9398 , 82 , 6848
9398 , 348 , 27034
9398 , 348 , 27036
9398 , 348 , 27040
9802 , 247 , 16925
9802 , 247 , 16926
9815 , 448 , 36620
9819 , 1 , 55
9904 , 108 , 6494
9904 , 108 , 6496
9939 , 314 , 16816
9972 , 28 , 1878
8902 , 54 , 5765
8902 , 54 , 5772
8902 , 54 , 5789
8902 , 54 , 5790
8902 , 54 , 5797
8913 , 360 , 36070
8919 , 382 , 43244
8922 , 424 , 44747
8922 , 424 , 44750
8922 , 424 , 44757
8922 , 424 , 44762
8922 , 424 , 44764
8922 , 424 , 44765
8947 , 5 , 572
8947 , 5 , 581
8947 , 5 , 588
8968 , 28 , 3253
8971 , 360 , 34721
8971 , 360 , 34735
8971 , 360 , 34737
8971 , 360 , 34738
9029 , 266 , 23811
9030 , 72 , 6562
9030 , 72 , 6564
9030 , 72 , 6567
9030 , 72 , 6568
9030 , 72 , 6573
9062 , 439 , 43748
9062 , 439 , 43749
9062 , 439 , 43762
9062 , 439 , 43767
9062 , 439 , 43768
9077 , 269 , 22412
9077 , 269 , 22423
9086 , 72 , 7099
9086 , 72 , 7121
9086 , 72 , 7123
9086 , 72 , 7132
9086 , 72 , 7139
9087 , 382 , 33969
9087 , 382 , 33982
9087 , 382 , 33987
9087 , 382 , 33990
9087 , 382 , 33992
9087 , 382 , 33994
9087 , 453 , 40493
9087 , 453 , 40495
9087 , 453 , 40497
9087 , 453 , 40499
9087 , 453 , 40510
9087 , 453 , 40512
9089 , 176 , 15394
9089 , 176 , 15397
9089 , 176 , 15421
9090 , 152 , 15750
9090 , 152 , 15755
9090 , 152 , 15758
9090 , 152 , 15769
9090 , 152 , 15777
9090 , 152 , 15779
9090 , 152 , 15787
9092 , 83 , 8380
9092 , 83 , 8381
9092 , 83 , 8383
9092 , 83 , 8389
9092 , 83 , 8403
